,lv,mv,ward,county,area_type
293,44.17732381,14.14637879,Chepseon,Kericho,Non-NR
294,55.2687074,16.86192376,Kanyadoto,Homabay,Non-NR
295,33.86707247,9.267123815,Ntimarueast,Migori,Urban
296,19.15690978,1.214933099,Gitaru,Kiambu,Urban
297,32.89605339,5.101743681,Maraka,Bungoma,Urban
298,58.34691715,137.9425323,Baawa,Samburu,SR
299,40.62713257,7.694350827,Kabuchaichwele,Bungoma,Non-NR
300,20.11377069,1.94035213,Muchatha,Kiambu,Urban
301,11.71865584,0,Dandoraareaiii,Nairobi,Urban
302,76.04302502,164.4081278,Loiyamorock,Baringo,SR
303,15.70989568,0.61229498,Freretown,Mombasa,Urban
304,34.02909578,8.009083159,Tebere,Kirinyaga,Urban
305,28.53410078,18.39738426,Chepchabas,Kericho,NR
306,27.99389213,5.274177734,Dundori,Nakuru,Urban
307,37.89763665,10.12853476,Gakawa,Nyeri,Urban
308,37.7400971,12.70153388,Mweiga,Nyeri,Urban
309,29.44319811,9.04086844,Athiriver,Machakos,Urban
310,29.45716304,5.426875099,Butsotsosouth,Kakamega,Urban
311,44.98780675,9.493972619,Westsangalo,Bungoma,Non-NR
312,74.21406369,53.83340856,Ilchamus,Baringo,SR
313,32.25552923,10.11165626,Kiganjomathari,Nyeri,Urban
314,16.19199203,0.253149658,Mtopanga,Mombasa,Urban
315,48.74257234,11.30365356,Khasoko,Bungoma,Non-NR
316,48.84509607,15.32594577,Nachu,Kiambu,Non-NR
317,35.7030965,6.779528176,Lwandeti,Kakamega,Urban
318,36.86793792,10.76286725,Gaturi,Murang'A,Urban
319,43.63437795,9.984148472,Cheptororietseretut,Kericho,Non-NR
320,43.28201027,150.0366656,Keriodelta,Turkana,SR
321,67.91681687,26.71022467,Central,Nyandarua,Non-NR
322,99.59215239,70.48700004,Hongwe,Lamu,SR
323,68.47175419,24.52599001,Kwabwai,Homabay,Non-NR
324,45.75983614,302.0386561,Lagbogholsouth,Wajir,SR
325,60.57861947,47.41239161,Lodokejek,Samburu,SR
326,28.52923836,4.155498231,Racecourse,Uasingishu,Urban
327,20.08451871,1.607573155,Claycity,Nairobi,Urban
328,45.40557501,10.57098193,Eastgem,Siaya,Non-NR
329,44.0047781,7.231957151,Isukhawest,Kakamega,Non-NR
330,62.8789803,46.56211004,Marigat,Baringo,SR
331,42.26480761,6.990308932,Ichuni,Kisii,Non-NR
332,98.63806341,59.82160149,Kanyangi,Kitui,SR
333,40.79718314,11.52547716,Usonga,Siaya,Non-NR
334,16.22835795,0.596374894,Southc,Nairobi,Urban
335,30.58859472,6.065339808,Kathianicentral,Machakos,Urban
336,43.59303802,13.69312492,Nthawa,Embu,Non-NR
337,68.30917145,20.77771669,Kola,Machakos,Non-NR
338,52.61313668,29.90667369,Mochongoi,Baringo,SR
339,26.06334447,3.252670147,Oloolua,Kajiado,Urban
340,27.39828766,194.1708742,Balambala,Garissa,NR
341,13.70040193,0,Uppersavannah,Nairobi,Urban
342,20.02685959,1.697895234,Menengai,Nakuru,Urban
343,19.12588156,0.987408799,Sheywe,Kakamega,Urban
344,95.20060055,54.1247874,Kwavonzayatta,Kitui,SR
345,29.88106951,9.079589309,Maunarok,Nakuru,Urban
346,52.90183867,13.06703388,Mikinduri,Meru,Non-NR
347,31.80902342,8.807249137,Gituamba,Kiambu,Urban
348,26.960348,63.03315247,Garsennorth,Tanariver,NR
349,23.46386542,2.754832202,Ndumberi,Kiambu,Urban
350,65.53226823,24.69336061,Kilgoriscentral,Narok,Non-NR
351,44.06037132,7.668913896,Idakhoeast,Kakamega,Non-NR
352,40.64340507,11.8890465,Kagaarisouth,Embu,Non-NR
353,27.77811234,4.29557503,Bombababorabu,Kisii,Urban
354,18.24982376,1.393165266,Pipeline,Nairobi,Urban
355,68.47450012,23.80478682,Masaba,Migori,Non-NR
356,46.35468781,13.43422739,Westuyoma,Siaya,Non-NR
357,36.15043907,11.79037035,Mosop,Nakuru,Urban
358,57.41963354,19.52739214,Kaplelartet,Kericho,Non-NR
359,23.16392447,2.869675096,Bonyamatuta,Nyamira,Urban
360,19.68874461,0,Eastleighnorth,Nairobi,Urban
361,45.45245502,12.04473046,Homabaywest,Homabay,Non-NR
362,50.86539206,20.7169347,Mugunda,Nyeri,Non-NR
363,90.73103801,54.38848799,Chemililchemase,Nandi,SR
364,59.04496351,69.77124859,Dalalekutuk,Kajiado,SR
365,29.05465131,6.150202495,Konyu,Nyeri,Urban
366,45.24214568,10.35007081,Waldai,Kericho,Non-NR
367,19.48680396,2.018377416,Huruma,Uasingishu,Urban
368,45.41523349,7.285014787,Isukhacentral,Kakamega,Non-NR
369,,,,,Urban
370,37.77960007,8.766200847,Northkamagambo,Migori,Urban
371,32.97514071,11.72913257,Kaptarakwa,Elgeyomarakwet,Urban
372,47.35070498,12.03142184,Southgem,Siaya,Non-NR
373,27.93946988,6.725152425,Athiruruujine,Meru,Urban
374,37.26555886,9.052437828,Kaplamai,Transnzoia,Urban
375,48.31897939,12.32950254,Northuyoma,Siaya,Non-NR
376,66.56960451,31.67067501,Katangi,Machakos,SR
377,54.48686543,72.64311815,Angatananyokie,Samburu,SR
378,50.66223536,112.0375337,Matapatonorth,Kajiado,SR
379,33.52329737,6.558898122,Inoi,Kirinyaga,Urban
380,58.31818467,16.62598122,Kipsonoi,Bomet,Non-NR
381,37.09540388,7.880361348,Centralseme,Kisumu,Urban
